title,abstract,year,author,doi,generated_abstract,bertscore_f1
"A Study on Consumer Perceptions of Private Labels in Apparels in Gujarat with an Emphasis on Price and Quality (with Special Reference to Ahmedabad, Baroda and Surat)","Purpose: The study indicates the major factors that affect the perception of consumers related to private label apparels. It also examines the major price related dimensions and the importance of quality related perceptions (extrinsic and intrinsic cues) influencing the private label purchase. Additionally, the study segments the consumers on the basis of factors affecting the consumer perceptions. Finally, the study analysis the relationship between price and quality dimensions related to private label apparels. Design / Methodology/Approach: The data is collected using a self administered questionnaire. The sample for the study is consumers who are aware of private labels, of major apparel formats located in Ahmedabad (Pantaloon, Westside, Globus, Big-Bazar), Baroda (Pantaloon, Westside, Big-Bazaar), Surat (Pantaloon, Westside, Big-Bazar) of Gujarat State. The sample size for the study is 608 respondents. The sampling technique used for the study is cluster followed by stratified sampling through mall intercept. Parametric tests like Anova, T-Test (independent and paired) and non parametric test including Chi-Square Test and Multivariate Analysis like Factor Analysis and Cluster Analysis are used to arrive at the conclusion. Findings: The major factors influencing consumer perceptions related to private labels are Proximity, Private Brand Loyalty, Risk Aversion, Serviceability and Corporate Image in addition to Price and Quality dimensions. The major factors influencing price dimensions related to private labels are Value Maximization, Sale Proneness, Price Consciousness, Price Mavenism, and Prestige Sensitivity. Consumers give more importance to intrinsic cues as compared to extrinsic cues pertaining to quality dimensions in private label apparels. There is a moderate positive correlation between the price and quality indicators in case of private labels in apparels. Private Label Consumers can be grouped into four categories namely Quality Conscious Shoppers, High Expectation Seekers, Apathetic Shoppers and Impression Oriented Shoppers.",2014.0,Shahir Bhatt,,"This doctoral thesis examines consumer perceptions of private labels in apparel in Gujarat, with a specific focus on price and quality. Through a mixed-methods approach combining surveys, interviews, and focus group discussions, this study investigates the attitudes and preferences of consumers towards private label brands in the state's major cities (Ahmedabad, Baroda, and Surat). The findings contribute to our understanding of how consumer perceptions shape purchasing decisions for private labels in apparel, with implications for marketers and policymakers seeking to promote fair trade practices and quality standards.",0.7825076
Application of Machine Learning in Intensive Care Unit (ICU) Settings Using MIMIC Dataset: Systematic Review,"Modern Intensive Care Units (ICUs) provide continuous monitoring of critically ill patients susceptible to many complications affecting morbidity and mortality. ICU settings require a high staff-to-patient ratio and generates a sheer volume of data. For clinicians, the real-time interpretation of data and decision-making is a challenging task. Machine Learning (ML) techniques in ICUs are making headway in the early detection of high-risk events due to increased processing power and freely available datasets such as the Medical Information Mart for Intensive Care (MIMIC). We conducted a systematic literature review to evaluate the effectiveness of applying ML in the ICU settings using the MIMIC dataset. A total of 322 articles were reviewed and a quantitative descriptive analysis was performed on 61 qualified articles that applied ML techniques in ICU settings using MIMIC data. We assembled the qualified articles to provide insights into the areas of application, clinical variables used, and treatment outcomes that can pave the way for further adoption of this promising technology and possible use in routine clinical decision-making. The lessons learned from our review can provide guidance to researchers on application of ML techniques to increase their rate of adoption in healthcare.",2021.0,Mahanazuddin Syed,https://doi.org/10.3390/informatics8010016,"This doctoral thesis investigates the application of machine learning techniques in intensive care unit settings using the MIMIC-III dataset. The systematic review aims to explore the potential benefits and limitations of integrating machine learning algorithms into ICU decision-making processes, with a focus on patient outcomes and healthcare resource utilization. By contributing to the existing literature on the use of machine learning in critical care, this research seeks to inform the development of more personalized and efficient clinical workflows in ICUs worldwide.",0.8036271
finding multi-step attacks in computer networks using heuristic search and mobile ambients,"An important aspect of IT security governance is the proactive and continuous identification of possible attacks in computer networks. This is complicated due to the complexity and size of networks, and due to the fact that usually network attacks are performed in several steps. This thesis proposes an approach called MsAMS (Multi-step Attack Modelling an Simulation), demonstrated by a proof-of-concept tool, to automatically find such multi-step attacks. The novelty of MsAMS is the fact that it applies Mobile Ambients and Combinatorial Optimization, more specifically Heuristic Search, to the domain of multi-step network attacks. A variant of ambient calculus is used to model networks, and heuristic search is used to simulate attackers searching for possible attacks in the modelled network. Additionally, and in support to these two aspects, MsAMS uses algorithms from the domain of Link Analysis Ranking, traditionally applied to the domain of Web search.",2009.0,Virginia N. L. Franqueira,https://doi.org/10.3990/1.9789036529235,"This doctoral thesis investigates the development of multi-step attacks in computer networks using heuristic search and mobile ambients. Through a combination of theoretical foundations and empirical analysis, this research contributes to the understanding of the security vulnerabilities inherent in network protocols and the design of novel attack strategies. By exploring the intersection of heuristic search algorithms and mobile ambient environments, this study aims to provide new insights into the potential exploitation of network vulnerabilities by advanced threat actors.",0.80064225
Market access and agricultural production : the case of banana production in Uganda,"Keywords: Smallholder poor farmers, market access, bananas, productivity, efficiency, labour demand, labour supply,Uganda.This study investigates the effects of factor and commodity markets on the development of the banana sub-sector in central and southwesternUganda.&nbsp;The study analyses smallholder household response to production constraints (crop pests and diseases, soil constraints) and development of product markets and off-farm employment opportunities.&nbsp;The study was carried out in central region, Masaka and southwest, which have divergent production constraints and opportunities.&nbsp;Various analytical tools were employed in this study.&nbsp;Cost benefit analysis was used to assess the competitiveness of banana production versus other crop enterprises.&nbsp;The stochastic production frontier was used to analyze the technical and productive efficiency of banana farmers.&nbsp;Production functions were estimated for the important crops to analyze the allocative efficiency of farmers in each study region.&nbsp;Finally, labour supply and demand functions were estimated to determine the factors that influence labour allocation decisions and to assess the farmers' response to changes in economic conditions.&nbsp;A multinomial logit model was fitted to identify factors that influence farmers' labour supply decisions between farm and off-farm work.&nbsp;Results for the cost benefit analysis show that banana is the most profitable of all the crops grown, in terms of gross margin.&nbsp;However, imperfections in labour and food markets cause farmers in the central region to allocate more land and labour to the less profitable annual crops (sweet potatoes, maize and cassava) but are more satisfying in terms of household food requirements.&nbsp;High food prices and limitations in access to the off-farm labour market induce farmers to rely on own farm production for their household food needs.&nbsp;Results from the technical efficiency analysis show that banana farmers in Uganda are technically inefficient, and output can be increased by 30 in the southwest and 58% in the central region.&nbsp;Improved roads, formal education and access to credit are some of the factors that improve technical efficiency.&nbsp;Agricultural extension visits significantly increases banana productivity in the southwest.&nbsp;Results confirm that pest (banana weevil) and disease (Sigatoka) infestation contribute to the low banana production in the central region.&nbsp;Farm size is positively related to farm productivity.&nbsp;However, production is more efficient on smaller plots (decreasing returns to scale).&nbsp;The low productivity on small farms puts to question the sustainability of smallholder agriculture, given the imperfections in labour and food markets and limited access to purchased inputs.&nbsp;Analysis of the marginal products of labour shows that farmers are allocatively inefficient and production and consumption decisions are nonseparable.&nbsp;Findings from labour supply analysis show that farmers respond positively to changes in shadow wage rates and negatively to changes in shadow income.&nbsp;This implies that the farmers are responsive to economic incentives.&nbsp;Access to off-farm opportunities takes away the most productive labour from farm production.&nbsp;Thus improved road access and high wage rates are associated with lower farm labour productivity and lower labour supply.&nbsp;Education and road access have a positive effect on time allocated to off-farm activities while farm size is negatively related to work hours in off-farm activities.&nbsp;The study reveals that policies that promote income diversification into off-farm activities can contribute to sustained development in the rural sector.&nbsp;In particular, policies that reduce transaction costs are likely to improve productivity and efficiency in both the off-farm sector and farm sector.&nbsp;Investment in road infrastructure, education and financial institutions that are suited to smallholder production needs could help in alleviating the bottlenecks in the labour, food and financial markets, and improve resource allocation between the farm and nonfarm sectors.",2007.0,Fredrick Bagamba,https://doi.org/10.18174/30548,"This doctoral thesis explores the complex relationships between market access and agricultural production in banana production in Uganda. Through a mixed-methods approach combining quantitative analysis of market data with qualitative insights from farm-level interviews and focus groups, this study examines the impact of market access on banana production in Uganda. The research contributes to our understanding of the role of market access in shaping agricultural productivity and sustainability, particularly in developing countries, by highlighting the importance of policy interventions and institutional support in facilitating market participation and improving livelihoods for smallholder farmers.",0.7380336
Generative Adversarial Networks for Semantic Image Synthesis and Unconditional Synthesis with Limited Data,"Generative modeling of images is an important task aimed at synthesizing new images that are indistinguishable from real samples. The ability to generate diverse, realistic- looking images holds numerous applications, ranging from artistic content creation to data augmentation for other computer vision tasks. In this thesis, we study generative adversarial networks (GANs), which have gained popularity as the leading image synthesis framework due to their exceptional performance. GANs consist of a generator and a discriminator that are engaged in an adversarial game. In this game, the discriminator learns to correctly classify incoming real and fake images, while the generator is trained to fool the discriminator by producing more realistic samples. Although GANs have made significant advancements in recent years, more research is needed to further enhance their scalability across diverse datasets, as well as the quality and diversity of their synthesis. To this end, this thesis presents several new GAN methods that expand the literature on GANs in various aspects. &#13;\n &lt;br /&gt; &#13;\nFirstly, we address the task of semantic image synthesis, generating realistic images from semantic label maps. For this task, our work introduces a new segmentation-based discriminator that provides a strong training signal for the generator, eliminating the need for additional losses and tricks used in prior models. Compared to previous GAN approaches, our proposed method achieves a synthesis with higher image quality and diversity, while showing much better scalability to datasets with severe class imbalances. &#13;\n &lt;br /&gt; &#13;\nSecondly, we explore the training of unconditional GAN models in low data regimes. Previously, under limited data, GAN models suffered from training instabilities and memorization issues, which limited their application in restricted image domains. To address this, we propose new GAN approaches for various limited-data scenarios, including traditional one-shot and few-shot learning regimes. The advancements of our methods include new training schemes, improved architectures of discriminators, and novel regularization terms for generators. Our proposed methods enable high-quality and diverse synthesis from extremely small datasets, on which prior GAN models could not be trained successfully. &#13;\n &lt;br /&gt; &#13;\nOverall, this thesis advances the field of generative adversarial networks by introducing new GAN models that improve over prior work in the image synthesis quality, diversity, and applicability across various image domains. The proposed approaches demonstrate superior performance in semantic image synthesis and unconditional training with limited data, making GANs more powerful and effective for a wide range of computer vision applications.",2024.0,Vadim Sushko,,"This doctoral thesis investigates the application of Generative Adversarial Networks (GANs) in synthesizing semantic images and unconditional images with limited data. Utilizing a combination of Generative Adversarial Networks and Variational Autoencoders, this research develops novel architectures for generating high-quality synthetic samples from real-world datasets. By contributing to the existing literature on GAN-based image synthesis and unconditional generation, this thesis provides new insights into the design and optimization of these models for various applications in computer vision.",0.7851202
Risk Management In Construction Industry,"Construction industry is highly risk prone, with complex and dynamic project environments which create an atmosphere of high uncertainty and risk. The industry is vulnerable to various technical, socio-political and business risks. The track record to cope with these risks has not been very good in construction industry. Risk management is a concept which becomes very popular in a number of businesses. Many companies often establish a risk management procedure in their projects for improving the performance and increase the profits. Projects undertaken in the construction sector are widely complex and have often significant budgets, and thus reducing risks associated should be a priority for each project manager. Risk management is a process which consists of identification of risks, assessment with qualitatively and quantitatively, responses with a suitable method for handling risks, and then controls the risks by monitoring. All analyses are based on a theoretical background regarding risk, risk management process and project life cycle approach in the construction sector.",2017.0,V. Sankara Subramaniyan,https://doi.org/10.5281/zenodo.258942,"This doctoral thesis explores the concept of risk management in the construction industry, with a focus on identifying and mitigating potential hazards. Through a mixed-methods approach combining survey research, case studies, and expert interviews, this study investigates the prevalence and characteristics of risk factors in Indian construction projects. The findings contribute to existing literature by highlighting the need for more effective risk management strategies in the industry, particularly in relation to environmental and social risks.",0.7947582
"""Tradução e validação do Eating Attitudes Test (EAT-26) em adolescentes do sexo feminino na cidade de Ribeirão Preto - SP""","BIGHETTI, F. Tradução e validação do Eating Attitudes Test (EAT-26) em adolescentes do sexo feminino na cidade de Ribeirão Preto - SP. 2003. (número de páginas) Dissertação de Mestrado  Escola de Enfermagem de Ribeirão Preto da Universidade de São Paulo, Ribeirão Preto - SP. Os distúrbios da conduta alimentar, entre eles, a anorexia e bulimia nervosas, são síndromes psicossomáticas consideradas graves e de prognóstico ruim, caracterizadas pelo medo mórbido de engordar, levando à redução voluntária da ingestão alimentar com perda progressiva de peso, ingestão maciça de alimentos seguida de vômitos e uso abusivo de laxantes e/ou diuréticos. Desta forma, é de suma importância que o diagnóstico dessas doenças seja realizado precocemente, sendo que um dos instrumentos que auxiliam na triagem de possíveis doentes é o Eating Attitudes Test (EAT-26). O objetivo dessa pesquisa foi traduzir e validar o EAT-26 para a língua portuguesa em adolescentes do sexo feminino de nível sócio-econômico alto e, para tanto, o teste foi aplicado em 365 estudantes com idade entre 12 e 18 anos de duas escolas particulares de Ribeirão Preto-SP onde essas doenças ocorrem com maior incidência. Para desenvolver esta investigação, foram utilizados o referencial metodológico da tradução e retro-tradução do instrumento e métodos de análise estatística para avaliar a consistência interna dos itens do teste, isto é, a intensidade da concordância entre as versões traduzidas e sua confiabilidade. Além disso, caracterizou-se a amostra sob o ponto de vista nutricional e socioeconômico. Como resultados, a idade média das meninas foi de 14,2 anos com desvio-padrão de 1,7 anos e a maioria (81,7%) se mostrou eutrófica pelo índice de massa corporal. A avaliação socioeconômica revelou que praticamente todas as adolescentes recebem desconto na mensalidade escolar, moram em bairros de estrato socioeconômico médio-baixo e médio-alto, cujas famílias têm renda mensal entre 5 e 10 salários mínimos (28,8%) e 10 e 15 salários mínimos (7,5%). A contagem total média do EAT-26 foi de 19,8 pontos. A validação e confiabilidade de consistência interna do teste, representadas pelo alfa de Crombach 0,80, foram consideradas estatisticamente bastante satisfatórias por este valor estar próximo de 1,00. Concluímos assim, que o EAT-26 encontra-se em ótimas condições para ser aplicado em adolescentes, auxiliando no pré-diagnóstico de possíveis casos de transtornos alimentares. Além disso, políticas públicas devem reconhecer e valorizar a elaboração de programas informativos para adolescentes e outros grupos de risco para conhecimento mais amplo desses quadros, possibilitando a precocidade do tratamento e favorecendo o seu prognóstico.",2003.0,Felícia Bighetti,https://doi.org/10.11606/d.22.2003.tde-12042004-234230,"This doctoral thesis investigates the translation and validation of the Eating Attitudes Test (EAT-26) in adolescent females from Ribeirão Preto, São Paulo, Brazil. The research methodology employed involves a mixed-methods approach, combining both quantitative and qualitative data collection and analysis methods to assess the test's psychometric properties and cultural adaptability in this specific population. The contribution of this study lies in its attempt to bridge the gap between existing literature on eating disorders in adolescents and the unique context of adolescent females from urban Brazil, shedding light on the EAT-26's suitability for this demographic group.",0.6355325
The Role of Public Infrastructure in Market Development in Rural Peru,"Keywords:Peru, rural infrastructure, poverty, economic geography, rural roads, impact evaluation, non-agricultural employment.This study provides a conceptual framework toanalysethe impact of rural infrastructure investment on market development for the enhancement of income generating opportunities for the poor in ruralPeru. The study uses descriptive methods and regression analysis together with relatively new impact evaluation techniques, like propensity score matching, to understand the causal paths through which access to new or improved infrastructure services affects the livelihood strategies and livelihood outcomes of rural households. The data sources used in this study include regional time series data, several cross-section household level data sets coming from rural representative Living Standard Measurement Surveys,ahousehold panel data set coming from the same source, together with specialized surveys developed by the author. The analysis shows that there are important complementarities in rural infrastructure investment. While any particular infrastructure investment (related to roads, electricity, telecommunication, water, or sanitation services) may be subject to diminishing returns, if done in isolation, this effect can be overcome if it takes place in combination with other investments. In this way it is possible to get a sustained growth effect on rural incomes from infrastructure investment. The study shows that infrastructure investments reduce transaction costs and enhance the opportunity for spatial arbitrage, paving the way for improving market efficiency. However, the study warns that efficiency and equity gains may not occur simultaneously, because those that are better off in rural areas may obtain higher returns to infrastructure investments because of a larger private asset base or because of a better access to other public infrastructure.",2005.0,Javier Escobal,https://doi.org/10.18174/121647,"This doctoral thesis examines the interplay between public infrastructure and market development in rural Peru, with a focus on the role of irrigation systems in facilitating agricultural production and economic growth. Drawing on a mixed-methods approach combining both quantitative and qualitative data collection and analysis methods, this research investigates the impact of irrigation infrastructure on rural livelihoods and market dynamics. The findings contribute to our understanding of the complex relationships between public infrastructure, market development, and rural poverty reduction in Peru, shedding light on the potential for irrigation systems to support sustainable economic growth in rural areas.",0.7906042
Les distances de chanfrein en analyse d'images : fondements et applications,"Chamfer distances are defined in the discrete space; they rely on the definition and the application of weighted masks, and they provide good approximations of the real Euclidean distance. They are often used in image analysis, for quantification and to describe the regions constituting the shape. In particular they allow the computation of weighted skeletons, with efficient algorithms. Our goal is to complete the knowledge above each level of these distances, and to generalise notions and algorithms. After some recalls, we study arithmetical and geometrical properties of chamfer disks, in such a way that we are able to determine the exact constraints, so as to induce a distance. These properties give also direct computation formulas. The mask optimization is then accomplished. The aim is to minimize the error relative to the Euclidean distance. Our method is validated with new optimal masks obtaining. We provide a universal medial axis computation algorithm, which generates look-up tables in a very fast way. A unified distance-driven scheme is proposed to extract the weighted skeleton of a digital pattern, which runs whichever distance is selected among the most common ones. Finally we present a shape description method, where the skeleton is suitably decomposed by a polygonal approximation. Any digital shape is reduced to a vectorial representation, which keeps some degree of reversibility.",1994.0,Édouard Thiel,,"Les distances de chanfrein en analyse d'images : fondements et applications

Cette thèse doctoral explore les distances de chanfrein dans des images, en analysant leur représentation géométrique et spatiale. Les méthodologies utilisées sont basées sur l'apprentissage automatique et la géométrie par projection, pour identifier et quantifier les distances de chanfrein dans une large variété d'images. Cette recherche contribue à développer des outils et des techniques pour l'analyse spatiale des données imageuses, en particulier dans le domaine du développement durable et de la gestion environnementale.",0.6755992
PENGARUH KUALITAS LAYANAN DAN KEPERCAYAAN PALANGGANTERHADAP LOYALITAS PELANGGAN PADA CV RAZL RENTALMOBIL KOTA BANDUNG,"Penelitian ini dilatarbelakangi oleh pentingnya loyalitas pelanggan dalam menjaga keberlangsungan usaha jasa, khususnya pada industri rental mobil yang memiliki tingkat persaingan tinggi. Loyalitas pelanggan dipengaruhi oleh berbagai faktor, di antaranya kualitas layanan dan kepercayaan pelanggan. Oleh karena itu, penelitian ini bertujuan untuk menganalisis pengaruh kualitas layanan dan kepercayaan pelanggan terhadap loyalitas pelanggan pada CV Razl Rental Mobil Kota Bandung. Metode penelitian yang digunakan adalah pendekatan kuantitatif dengan jenis penelitian kausal. Variabel independen dalam penelitian ini adalah kualitas layanan (X1) dan kepercayaan pelanggan (X2), sedangkan variabel dependen adalah loyalitas pelanggan (Y). Teknik pengumpulan data dilakukan melalui observasi, wawancara, dan penyebaran kuesioner kepada 72 responden yang ditentukan menggunakan rumus Slovin. Data dianalisis menggunakan uji validitas, uji reliabilitas, serta analisis regresi linear berganda dengan bantuan program SPSS. Hasil penelitian menunjukkan bahwa secara parsial kualitas layanan dan kepercayaan pelanggan berpengaruh positif dan signifikan terhadap loyalitas pelanggan. Secara simultan, kedua variabel tersebut memberikan pengaruh sebesar 51,7% terhadap loyalitas pelanggan, sedangkan sisanya sebesar 48,3% dipengaruhi oleh variabel lain di luar penelitian. Variabel kualitas layanan memiliki pengaruh yang lebih dominan dibandingkan kepercayaan pelanggan. Dengan demikian, peningkatan kualitas layanan dan kepercayaan pelanggan menjadi faktor penting dalam meningkatkan loyalitas pelanggan. Perusahaan disarankan untuk terus meningkatkan kualitas pelayanan serta menjaga kepercayaan pelanggan guna mempertahankan loyalitas dalam jangka panjang. Kata kunci: Kualitas Layanan, Kepercayaan Pelanggan, Loyalitas Pelanggan, Jasa Rental Mobil.",2026.0,"Yani, Pitri",,"This doctoral thesis investigates the impact of service quality and customer loyalty on the perceived reliability of rental car services in Bandung City, Indonesia. Using a mixed-methods approach combining survey research and focus group discussions, this study examines the relationships between customer satisfaction, perceived reliability, and customer loyalty towards CV RAZL Rental Mobil Kota Bandaung. The findings contribute to existing literature by providing insights into the factors influencing customer loyalty and perceived reliability in the context of rental car services, with implications for service providers seeking to enhance their reputation and customer retention.",0.5872653
